Primary Cell Line Name,Compound,ActArea
OCUM-1,Nutlin-3,0.5333
OE21,Nutlin-3,0.4005
OE33,Nutlin-3,0.1788
ONCO-DG-1,Nutlin-3,0.1837
ONS-76,Nutlin-3,0.3121
OPM-2,Nutlin-3,0.1889
OV-90,Nutlin-3,0.09546
OVCAR-4,Nutlin-3,0.3606
OVCAR-8,Nutlin-3,0.08894
OVMANA,Nutlin-3,0.6969
OVSAHO,Nutlin-3,0.1494
OVTOKO,Nutlin-3,0.5722
P12-ICHIKAWA,Nutlin-3,0.7109
P31/FUJ,Nutlin-3,0.5038
P3HR-1,Nutlin-3,0.1132
Panc 02.03,Nutlin-3,0.6172
Panc 03.27,Nutlin-3,0.07107
Panc 04.03,Nutlin-3,0.3671
Panc 10.05,Nutlin-3,0.4299
PA-TU-8902,Nutlin-3,0.4023
PC-14,Nutlin-3,0.09898
PC-3,Nutlin-3,0.4157
Pfeiffer,Nutlin-3,0.2595
PK-1,Nutlin-3,0.3042
PK-45H,Nutlin-3,0.2626
PK-59,Nutlin-3,0
PL45,Nutlin-3,0.6211
PLC/PRF/5,Nutlin-3,1.0226
PSN1,Nutlin-3,0.2706
QGP-1,Nutlin-3,0.3865
Raji,Nutlin-3,0.5263
RD,Nutlin-3,0.3467
Reh,Nutlin-3,0.573
RERF-GC-1B,Nutlin-3,0.2647
RERF-LC-AI,Nutlin-3,0.2795
RERF-LC-MS,Nutlin-3,0
RKN,Nutlin-3,0.5138
RKO,Nutlin-3,0.6938
RL95-2,Nutlin-3,0.6145
RPMI-7951,Nutlin-3,0.2262
RPMI-8402,Nutlin-3,1.1439
RT-112,Nutlin-3,0.6725
RT4,Nutlin-3,1.0192
RVH-421,Nutlin-3,0.7626
Saos-2,Nutlin-3,0.2842
SBC-5,Nutlin-3,0.5119
SCaBER,Nutlin-3,0.272
SCC-25,Nutlin-3,0.5353
SCC-9,Nutlin-3,0.1992
SF126,Nutlin-3,0.08125
SF-295,Nutlin-3,0.2025
SF8657,Nutlin-3,0.3364
SH-10-TC,Nutlin-3,0.129
SHP-77,Nutlin-3,0.252
SIG-M5,Nutlin-3,2.9584
SIMA,Nutlin-3,0.8092
SJRH30,Nutlin-3,0.2678
SJSA-1,Nutlin-3,1.339
SK-BR-3,Nutlin-3,0.0506
SK-CO-1,Nutlin-3,0.5605
SK-ES-1,Nutlin-3,0.21
SK-HEP-1,Nutlin-3,0.8066
SK-LMS-1,Nutlin-3,1.5613
SK-LU-1,Nutlin-3,0.7127
SK-MEL-2,Nutlin-3,2.1103
SK-MEL-24,Nutlin-3,0.3876
SK-MEL-30,Nutlin-3,0.04694
SK-MEL-31,Nutlin-3,0.4347
SK-MEL-5,Nutlin-3,0.9531
SK-MES-1,Nutlin-3,1.4989
SK-MM-2,Nutlin-3,0.1509
SK-N-AS,Nutlin-3,0.3259
SK-N-BE(2),Nutlin-3,0.4808
SK-N-DZ,Nutlin-3,0.2146
SK-N-FI,Nutlin-3,0.4112
SK-N-SH,Nutlin-3,1.3029
SK-OV-3,Nutlin-3,0.5764
SNG-M,Nutlin-3,0.4692
SNU-1,Nutlin-3,1.27
SNU-16,Nutlin-3,0.211
SNU-182,Nutlin-3,0.2442
SNU-387,Nutlin-3,0.9645
SNU-398,Nutlin-3,0.8702
SNU-423,Nutlin-3,0.1352
SNU-449,Nutlin-3,0.4246
SNU-475,Nutlin-3,0.8932
SNU-C2A,Nutlin-3,0.542
SNU-C2B,Nutlin-3,0.5569
Sq-1,Nutlin-3,0.06167
SU.86.86,Nutlin-3,0.148
SU-DHL-10,Nutlin-3,0.0689
SU-DHL-4,Nutlin-3,1.9194
SU-DHL-6,Nutlin-3,0.2678
SU-DHL-8,Nutlin-3,0.7898
SUIT-2,Nutlin-3,0.2685
SUP-M2,Nutlin-3,0.312
SUP-T1,Nutlin-3,0.4434
SW 1088,Nutlin-3,0
SW 1271,Nutlin-3,0.7121
SW 1353,Nutlin-3,0.5273
SW1417,Nutlin-3,0.3706
SW 1573,Nutlin-3,0.4564
SW 1990,Nutlin-3,1.2615
SW403,Nutlin-3,0.2976
SW48,Nutlin-3,1.0407
SW480,Nutlin-3,0.6109
SW579,Nutlin-3,0.9223
SW620,Nutlin-3,0.4372
SW 780,Nutlin-3,0.7854
SW 900,Nutlin-3,0.3107
T24,Nutlin-3,0.8099
T3M-10,Nutlin-3,0.2688
T-47D,Nutlin-3,0.4176
T84,Nutlin-3,1.0549
T98G,Nutlin-3,0.5323
TC-71,Nutlin-3,0.05201
TCCSUP,Nutlin-3,0
TE-1,Nutlin-3,0.4281
TE-11,Nutlin-3,1.2078
TE-15,Nutlin-3,0.8088
TE-5,Nutlin-3,0.3958
TE 617.T,Nutlin-3,1.4265
TE-9,Nutlin-3,0.4344
TEN,Nutlin-3,0.8192
Toledo,Nutlin-3,0
TOV-112D,Nutlin-3,0.6416
TOV-21G,Nutlin-3,0.3815
TT2609-C02,Nutlin-3,0.2607
TYK-nu,Nutlin-3,0
U-118 MG,Nutlin-3,0.2094
U-2 OS,Nutlin-3,1.0122
U-87 MG,Nutlin-3,0.4944
U-937,Nutlin-3,0.2506
UACC-257,Nutlin-3,0.4674
UACC-62,Nutlin-3,1.1217
UACC-812,Nutlin-3,0.3032
UM-UC-3,Nutlin-3,0.2972
VMRC-LCD,Nutlin-3,0.6822
VMRC-RCW,Nutlin-3,0.1633
VMRC-RCZ,Nutlin-3,0.3594
WM-115,Nutlin-3,0.1188
WM1799,Nutlin-3,1.0335
WM-266-4,Nutlin-3,0.7351
WM-793,Nutlin-3,0.862
WM-88,Nutlin-3,0.6133
WM-983B,Nutlin-3,1.6994
YKG1,Nutlin-3,0.1102
ZR-75-1,Nutlin-3,1.013
ZR-75-30,Nutlin-3,0.08222
1321N1,AZD0530,1.6364
22Rv1,AZD0530,0.6198
42-MG-BA,AZD0530,1.9068
5637,AZD0530,0.8491
639-V,AZD0530,1.2147
697,AZD0530,1.8525
769-P,AZD0530,2.1677
786-O,AZD0530,0.4241
8305C,AZD0530,1.1074
8505C,AZD0530,0.05208
8-MG-BA,AZD0530,1.186
A172,AZD0530,0.2508
A-204,AZD0530,0.714
A2058,AZD0530,0.793
A-253,AZD0530,1.3531
A2780,AZD0530,0.3709
A-375,AZD0530,0.9057
A549,AZD0530,0.4962
A-673,AZD0530,0.9435
ACHN,AZD0530,1.2189
ALL-SIL,AZD0530,4.0457
AMO-1,AZD0530,0.3323
AN3 CA,AZD0530,0.4755
AsPC-1,AZD0530,0.6383
AU565,AZD0530,0.2328
AZ-521,AZD0530,2.1758
B-CPAP,AZD0530,1.54
BDCM,AZD0530,1.9092
BFTC-909,AZD0530,0.2464
BGC-823,AZD0530,0.09784
BL-41,AZD0530,0.05539
BL-70,AZD0530,2.0535
BT-20,AZD0530,1.181
BT-474,AZD0530,0.8074
BT-549,AZD0530,0.8363
BxPC-3,AZD0530,1.5541
C2BBe1,AZD0530,2.0615
C32,AZD0530,0
C3A,AZD0530,0.7807
Caki-2,AZD0530,1.4118
CAL-12T,AZD0530,1.8817
CAL 27,AZD0530,1.5346
CAL-78,AZD0530,0.6972
CAL-85-1,AZD0530,1.7728
Calu-1,AZD0530,0.2008
Calu-3,AZD0530,2.3703
Calu-6,AZD0530,1.5736
CAMA-1,AZD0530,0.1606
Capan-2,AZD0530,1.7225
CAS-1,AZD0530,0.6927
CCK-81,AZD0530,1.8014
CHL-1,AZD0530,1.1383
CHP-212,AZD0530,2.3748
CI-1,AZD0530,0.6352
CMK-86,AZD0530,0.6859
COLO 201,AZD0530,0.8254
COLO 205,AZD0530,0.4195
COLO-320,AZD0530,0.4243
COLO-677,AZD0530,0.05858
COLO-678,AZD0530,0.8386
COLO-679,AZD0530,0.1354
COLO-699,AZD0530,0.6744
COLO 741,AZD0530,0.4347
COR-L105,AZD0530,0.7688
COR-L23,AZD0530,0.2272
COV318,AZD0530,0.7234
COV504,AZD0530,0.6355
Daoy,AZD0530,0.2739
DBTRG-05MG,AZD0530,1.475
DEL,AZD0530,1.4715
Detroit 562,AZD0530,1.1993
DK-MG,AZD0530,0.3462
DMS 114,AZD0530,0.3061
DOHH-2,AZD0530,1.4458
DOV13,AZD0530,0.1621
DU 145,AZD0530,1.391
DV-90,AZD0530,0.7536
EB1,AZD0530,1.5087
EB2,AZD0530,0.2212
EBC-1,AZD0530,0.64
EFE-184,AZD0530,1.4942
EFM-19,AZD0530,1.2611
EFO-21,AZD0530,0.6374
EFO-27,AZD0530,1.3038
EM-2,AZD0530,4.2714
EN,AZD0530,0.6256
ES-2,AZD0530,0.05565
ESS-1,AZD0530,1.8504
F-36P,AZD0530,0.2391
FaDu,AZD0530,1.9008
FU97,AZD0530,1.3435
FU-OV-1,AZD0530,1.7494
G-361,AZD0530,0.7462
G-401,AZD0530,0.983
G-402,AZD0530,1.4516
GAMG,AZD0530,0.2102
GB-1,AZD0530,1.0036
GCIY,AZD0530,1.2041
GCT,AZD0530,1.1414
GI-1,AZD0530,0.5236
GLC-82,AZD0530,0.1451
GMS-10,AZD0530,0.7487
GRANTA-519,AZD0530,2.0087
H4,AZD0530,0.6725
HARA,AZD0530,0.6418
HCC1187,AZD0530,0.3754
HCC1395,AZD0530,1.8946
HCC-15,AZD0530,0.9268
HCC1569,AZD0530,0.4595
HCC1806,AZD0530,2.0485
HCC1954,AZD0530,1.6338
HCC2935,AZD0530,2.2272
HCC4006,AZD0530,2.3879
HCC-44,AZD0530,0.4591
HCC-56,AZD0530,1.1856
HCC70,AZD0530,0.571
HCC-78,AZD0530,0.3899
HCC827,AZD0530,2.8997
HCT 116,AZD0530,0.2996
HCT-15,AZD0530,0.9084
HD-MY-Z,AZD0530,0.5385
HDQ-P1,AZD0530,2.1889
HEC-151,AZD0530,1.6659
HEC-1-A,AZD0530,1.6748
HEC-1-B,AZD0530,2.6185
HEC-251,AZD0530,1.5751
HEC-265,AZD0530,0.1751
HEC-59,AZD0530,0.04556
HEC-6,AZD0530,0.7863
HEL 92.1.7,AZD0530,0.5733
Hep 3B2.1-7,AZD0530,0.5329
Hep G2,AZD0530,0.3882
Hey-A8,AZD0530,0.596
HGC-27,AZD0530,0.801
HH,AZD0530,0.8571
HLE,AZD0530,0.7129
HLF,AZD0530,1.5
HMC-1-8,AZD0530,0.1051
HMCB,AZD0530,1.3243
HOS,AZD0530,0.1945
HPAC,AZD0530,1.8324
HPAF-II,AZD0530,1.8783
Hs 229.T,AZD0530,0.07466
Hs 294T,AZD0530,0.6296
Hs 578T,AZD0530,0.4801
Hs 683,AZD0530,1.2891
Hs 695T,AZD0530,0.3278
Hs 729,AZD0530,0.5674
Hs 739.T,AZD0530,1.6143
Hs 746T,AZD0530,1.7904
Hs 766T,AZD0530,1.7451
Hs 840.T,AZD0530,0.5852
Hs 852.T,AZD0530,1.0993
Hs 895.T,AZD0530,0.3408
Hs 936.T,AZD0530,0.1732
Hs 939.T,AZD0530,0.5327
Hs 944.T,AZD0530,0.7203
HSC-2,AZD0530,0.7791
HT,AZD0530,0.7877
HT-1080,AZD0530,0.1531
HT-1197,AZD0530,0.7165
HT-1376,AZD0530,1.657
HT-144,AZD0530,0.3266
HT-29,AZD0530,0.9439
HuCCT1,AZD0530,0.08281
huH-1,AZD0530,0.5394
HUP-T3,AZD0530,0.7185
HUP-T4,AZD0530,2.4276
HuT 78,AZD0530,1.2907
IA-LM,AZD0530,0.3366
IGR-37,AZD0530,0.6652
IGR-39,AZD0530,1.3605
IGROV1,AZD0530,1.9254
IM95,AZD0530,1.59
IMR-32,AZD0530,1.7157
IPC-298,AZD0530,0.04946
Ishikawa (Heraklio) 02 ER-,AZD0530,0.8908
IST-MES1,AZD0530,1.0161
IST-MES2,AZD0530,0.734
J82,AZD0530,0.321
JHH-2,AZD0530,1.6623
JHH-4,AZD0530,1.0493
JHH-5,AZD0530,1.4841
JHH-6,AZD0530,0.3986
JHH-7,AZD0530,0.6958
JHOS-2,AZD0530,0.4457
JHOS-4,AZD0530,1.733
JHUEM-2,AZD0530,0.5545
JM1,AZD0530,0.05758
JMSU-1,AZD0530,0.6231
JURKAT,AZD0530,2.5246
JVM-3,AZD0530,1.5103
K029AX,AZD0530,0.04896
KALS-1,AZD0530,1.1537
KARPAS-299,AZD0530,0.1212
KARPAS-422,AZD0530,0.5777
KARPAS-620,AZD0530,0.863
KASUMI-2,AZD0530,1.2213
KCI-MOH1,AZD0530,1.8387
KCL-22,AZD0530,3.2752
KE-39,AZD0530,0.4174
KE-97,AZD0530,1.0054
KELLY,AZD0530,0.499
KG-1,AZD0530,0
KHM-1B,AZD0530,0.4197
KLE,AZD0530,1.5831
KMBC-2,AZD0530,0.01229
KMM-1,AZD0530,0.7628
KMRC-1,AZD0530,1.6644
KMRC-2,AZD0530,2.8096
KMS-11,AZD0530,0.3816
KMS-12-BM,AZD0530,0.2465
KMS-26,AZD0530,0.1371
KMS-34,AZD0530,0.5543
KNS-42,AZD0530,0.6949
KNS-60,AZD0530,0
KNS-62,AZD0530,0.2138
KNS-81,AZD0530,1.0272
KO52,AZD0530,0.4784
KP-1N,AZD0530,0.6351
KP-1NL,AZD0530,0.4878
KP-2,AZD0530,0.3689
KP-3,AZD0530,1.2097
KP4,AZD0530,0.4543
KP-N-SI9s,AZD0530,1.095
KU812,AZD0530,3.0717
KURAMOCHI,AZD0530,2.0978
KYM-1,AZD0530,0.9075
KYSE-140,AZD0530,1.8523
KYSE-150,AZD0530,0.3552
KYSE-180,AZD0530,1.6671
KYSE-30,AZD0530,1.2127
KYSE-410,AZD0530,1.2755
KYSE-450,AZD0530,1.4272
KYSE-510,AZD0530,0.348
KYSE-520,AZD0530,1.1904
KYSE-70,AZD0530,1.6009
L3.3,AZD0530,0.3391
L-363,AZD0530,1.4398
L-428,AZD0530,0.2569
LC-1/sq-SF,AZD0530,0.2975
LCLC-103H,AZD0530,0.2668
LN-18,AZD0530,0.7022
LN-229,AZD0530,0.9273
LOU-NH91,AZD0530,0.8153
LOX IMVI,AZD0530,1.2245
LP-1,AZD0530,0.4225
LS123,AZD0530,0.9965
LS411N,AZD0530,0.2772
LS513,AZD0530,0.9041
LU99,AZD0530,0.5512
LUDLU-1,AZD0530,1.1566
M059J,AZD0530,0.6911
Malme-3M,AZD0530,0.1187
MB 157,AZD0530,1.3304
MC116,AZD0530,0.09845
MCAS,AZD0530,0.8336
MCF7,AZD0530,0.03456
MDA-MB-157,AZD0530,0.5788
MDA-MB-175-VII,AZD0530,1.7853
MDA-MB-415,AZD0530,0.699
MDA-MB-435S,AZD0530,0.9781
MDA-MB-436,AZD0530,0.6943
MDA-MB-453,AZD0530,0.1335
MDA-MB-468,AZD0530,1.016
MEC-1,AZD0530,1.79
MEG-01,AZD0530,2.3393
MEL-HO,AZD0530,0.9185
MES-SA,AZD0530,0.02141
MeWo,AZD0530,0.08418
MFE-280,AZD0530,0.7199
MFE-296,AZD0530,1.1319
MFE-319,AZD0530,2.3456
MG-63,AZD0530,0.5506
MHH-ES-1,AZD0530,3.6528
MIA PaCa-2,AZD0530,1.5617
Mino,AZD0530,0.05838
MJ,AZD0530,0.3153
MKN-45,AZD0530,0.5686
MKN7,AZD0530,0.2042
MKN74,AZD0530,0.2625
MOG-G-CCM,AZD0530,0.6568
MOLP-8,AZD0530,0.4735
MOLT-16,AZD0530,2.4599
MONO-MAC-1,AZD0530,2.5768
MOR/CPR,AZD0530,0.3816
MPP 89,AZD0530,0.3467
MSTO-211H,AZD0530,0.7174
NCI-H1048,AZD0530,1.2751
NCI-H1092,AZD0530,0
NCI-H1155,AZD0530,1.4315
NCI-H1184,AZD0530,0
NCI-H1299,AZD0530,1.4866
NCI-H1339,AZD0530,1.137
NCI-H1341,AZD0530,1.1726
NCI-H1355,AZD0530,0.9871
NCI-H1373,AZD0530,0.4326
NCI-H1563,AZD0530,0.4409
NCI-H1568,AZD0530,1.5767
NCI-H1573,AZD0530,1.3679
NCI-H1581,AZD0530,0.5944
NCI-H1648,AZD0530,0.2443
NCI-H1650,AZD0530,1.9891
NCI-H1651,AZD0530,0.5989
NCI-H1666,AZD0530,1.2167
NCI-H1693,AZD0530,1.4733
NCI-H1694,AZD0530,0.3515
NCI-H1703,AZD0530,1.9617
NCI-H1792,AZD0530,0.3243
NCI-H1793,AZD0530,0.8634
NCI-H1869,AZD0530,1.719
NCI-H1915,AZD0530,1.1919
NCI-H1944,AZD0530,0.4428
NCI-H1975,AZD0530,0.5187
NCI-H2009,AZD0530,1.094
NCI-H2023,AZD0530,0.4832
NCI-H2030,AZD0530,1.8416
NCI-H2052,AZD0530,1.8074
NCI-H2085,AZD0530,0.6582
NCI-H2087,AZD0530,0.7401
NCI-H211,AZD0530,0.61
NCI-H2122,AZD0530,0.8178
NCI-H2170,AZD0530,1.7978
NCI-H2172,AZD0530,0.1918
NCI-H2228,AZD0530,0.9192
NCI-H226,AZD0530,0.2167
NCI-H2286,AZD0530,2.0052
NCI-H23,AZD0530,0.7626
NCI-H2444,AZD0530,0.528
NCI-H2452,AZD0530,1.0389
NCI-H28,AZD0530,1.327
NCI-H322,AZD0530,1.5032
NCI-H3255,AZD0530,3.9472
NCI-H358,AZD0530,0.7506
NCI-H441,AZD0530,0.7499
NCI-H460,AZD0530,0.1118
NCI-H520,AZD0530,0.7849
NCI-H522,AZD0530,0.8378
NCI-H647,AZD0530,1.452
NCI-H650,AZD0530,0
NCI-H661,AZD0530,0.5857
NCI-H727,AZD0530,1.0985
NCI-H747,AZD0530,1.2293
NCI-H810,AZD0530,0.2285
NCI-N87,AZD0530,2.0389
NCO2,AZD0530,4.2576
NIH:OVCAR-3,AZD0530,2.2222
NUGC-3,AZD0530,0.9751
NUGC-4,AZD0530,2.712
OC 314,AZD0530,0.5346
OC 315,AZD0530,0.2386
OC 316,AZD0530,0.4455
OCI-AML2,AZD0530,0.2234
OCI-AML5,AZD0530,1.1565
OCI-LY10,AZD0530,0.2737
OCUM-1,AZD0530,0.3956
OE21,AZD0530,1.4609
OE33,AZD0530,1.5313
ONCO-DG-1,AZD0530,1.508
ONS-76,AZD0530,0.6145
OPM-2,AZD0530,0.6917
OV-90,AZD0530,0.2935
OVCAR-4,AZD0530,0.4466
OVCAR-8,AZD0530,1.0565
OVMANA,AZD0530,1.6191
OVSAHO,AZD0530,0.8493
OVTOKO,AZD0530,1.9162
P12-ICHIKAWA,AZD0530,0.3353
P31/FUJ,AZD0530,0.07896
P3HR-1,AZD0530,0.3172
Panc 02.03,AZD0530,1.669
Panc 03.27,AZD0530,0.9077
Panc 04.03,AZD0530,0.7926
Panc 10.05,AZD0530,1.4284
PA-TU-8902,AZD0530,0.9396
PC-14,AZD0530,3.3372
PC-3,AZD0530,1.6719
Pfeiffer,AZD0530,1.7467
PK-1,AZD0530,1.1932
PK-45H,AZD0530,1.4521
PK-59,AZD0530,0.8084
PL45,AZD0530,1.2078
PLC/PRF/5,AZD0530,0.8137
PSN1,AZD0530,0.1458
QGP-1,AZD0530,0.6628
Raji,AZD0530,0.0146
RD,AZD0530,0.8706
Reh,AZD0530,0.00713
RERF-GC-1B,AZD0530,2.1467
RERF-LC-AI,AZD0530,0
RERF-LC-MS,AZD0530,0.06091
RKN,AZD0530,0.5643
RKO,AZD0530,0.6394
RL95-2,AZD0530,1.6957
RPMI-7951,AZD0530,0.8065
RPMI-8402,AZD0530,1.0333
RT-112,AZD0530,1.0985
RT4,AZD0530,3.5666
RVH-421,AZD0530,0
Saos-2,AZD0530,1.2774
SBC-5,AZD0530,0.04244
SCaBER,AZD0530,1.6172
SCC-25,AZD0530,1.1035
SCC-9,AZD0530,1.3741
SF126,AZD0530,0.5959
SF-295,AZD0530,0.4257
SF8657,AZD0530,0.1302
SH-10-TC,AZD0530,0.4559
SHP-77,AZD0530,0.2412
SIG-M5,AZD0530,3.1197
SIMA,AZD0530,1.0497
SJRH30,AZD0530,0.1909
SJSA-1,AZD0530,1.3996
SK-BR-3,AZD0530,0.4847
SK-CO-1,AZD0530,1.7353
SK-ES-1,AZD0530,1.0395
SK-HEP-1,AZD0530,0
SK-LMS-1,AZD0530,1.0581
SK-LU-1,AZD0530,1.7584
SK-MEL-2,AZD0530,0.1274
SK-MEL-24,AZD0530,0.514
SK-MEL-30,AZD0530,0
SK-MEL-31,AZD0530,0.3513
SK-MEL-5,AZD0530,0.2502
SK-MES-1,AZD0530,2.5709
SK-MM-2,AZD0530,1.6679
SK-N-AS,AZD0530,0.3985
SK-N-BE(2),AZD0530,0.4317
SK-N-DZ,AZD0530,1.5357
SK-N-FI,AZD0530,1.3394
SK-N-SH,AZD0530,1.0388
SK-OV-3,AZD0530,1.1181
SNG-M,AZD0530,1.0556
SNU-1,AZD0530,0.6094
SNU-16,AZD0530,0.4442
SNU-182,AZD0530,0.943
SNU-387,AZD0530,1.0306
SNU-398,AZD0530,0.6213
SNU-423,AZD0530,0.04521
SNU-449,AZD0530,0.6314
SNU-475,AZD0530,0.6638
SNU-C2A,AZD0530,1.326
SNU-C2B,AZD0530,1.1897
Sq-1,AZD0530,1.9154
SU.86.86,AZD0530,0.3333
SU-DHL-10,AZD0530,0.4912
SU-DHL-4,AZD0530,3.6068
SU-DHL-6,AZD0530,1.7767
SU-DHL-8,AZD0530,1.196
SUIT-2,AZD0530,1.011
SUP-M2,AZD0530,0
SUP-T1,AZD0530,0.5452
SW 1088,AZD0530,0.2863
SW 1271,AZD0530,1.3076
SW 1353,AZD0530,0.5077
SW1417,AZD0530,2.5102
SW 1573,AZD0530,0.6893
SW 1990,AZD0530,1.3081
SW403,AZD0530,1.1138
SW48,AZD0530,1.6492
SW480,AZD0530,0.1153
SW579,AZD0530,1.5267
SW620,AZD0530,0.09312
SW 780,AZD0530,0.23
SW 900,AZD0530,0.3648
T24,AZD0530,1.5531
T3M-10,AZD0530,0.03668
T-47D,AZD0530,0.5592
T84,AZD0530,1.0293
T98G,AZD0530,1.4143
TC-71,AZD0530,0.02867
TCCSUP,AZD0530,0.08578
TE-1,AZD0530,1.0441
TE-11,AZD0530,1.9288
TE-15,AZD0530,2.4415
TE-5,AZD0530,0.5912
TE 617.T,AZD0530,2.941
TE-9,AZD0530,1.9496
TEN,AZD0530,1.3929
Toledo,AZD0530,0.002277
TOV-112D,AZD0530,1.8421
TOV-21G,AZD0530,1.6485
TT2609-C02,AZD0530,1.3733
TYK-nu,AZD0530,0.8178
U-118 MG,AZD0530,0.1566
U-2 OS,AZD0530,1.3457
U-87 MG,AZD0530,0.03487
U-937,AZD0530,0.5793
UACC-257,AZD0530,0.3102
UACC-62,AZD0530,1.0493
UACC-812,AZD0530,0.6199
UM-UC-3,AZD0530,0.706
VMRC-LCD,AZD0530,1.4598
VMRC-RCW,AZD0530,1.4463
VMRC-RCZ,AZD0530,1.8178
WM-115,AZD0530,0.04944
WM1799,AZD0530,1.2506
WM-266-4,AZD0530,0
WM-793,AZD0530,0.8811
WM-88,AZD0530,0.5142
WM-983B,AZD0530,2.4621
YKG1,AZD0530,1.6499
ZR-75-1,AZD0530,1.1688
ZR-75-30,AZD0530,0
1321N1,PF2341066,0.289
22Rv1,PF2341066,0.8545
42-MG-BA,PF2341066,0.9563
5637,PF2341066,0.1933
639-V,PF2341066,0.9721
697,PF2341066,2.0731
769-P,PF2341066,0.2945
786-O,PF2341066,0.5546
8305C,PF2341066,0.9068
8505C,PF2341066,0.2865
8-MG-BA,PF2341066,0.5288
A172,PF2341066,0.4959
A-204,PF2341066,0.5515
A2058,PF2341066,0.5221
A-253,PF2341066,0.3606
A2780,PF2341066,1.3639
A-375,PF2341066,0.7175
A549,PF2341066,0.4691
A-673,PF2341066,1.6086
ACHN,PF2341066,0.4836
ALL-SIL,PF2341066,3.0952
AMO-1,PF2341066,1.3265
AN3 CA,PF2341066,0.02807
AsPC-1,PF2341066,0.6001
AU565,PF2341066,0.7979
AZ-521,PF2341066,0.9735
B-CPAP,PF2341066,0.6353
BDCM,PF2341066,0
BFTC-909,PF2341066,0.4398
BGC-823,PF2341066,0.8327
BL-41,PF2341066,0.8768
BL-70,PF2341066,0.9159
BT-20,PF2341066,0.5166
BT-474,PF2341066,0.2296
BT-549,PF2341066,0.533
BxPC-3,PF2341066,0.5536
C2BBe1,PF2341066,0.7279
C32,PF2341066,0.261
C3A,PF2341066,0.5101
Caki-2,PF2341066,0
CAL-12T,PF2341066,1.1889
CAL 27,PF2341066,0.5558
CAL-78,PF2341066,0.8664
CAL-85-1,PF2341066,0.2923
Calu-1,PF2341066,0.08662
Calu-3,PF2341066,0.4668
Calu-6,PF2341066,0.7092
CAMA-1,PF2341066,0.1829
Capan-2,PF2341066,1.1095
CAS-1,PF2341066,0.6175
CCK-81,PF2341066,0.3273
CHL-1,PF2341066,0.1746
CHP-212,PF2341066,1.0766
CI-1,PF2341066,0.8737
CMK-86,PF2341066,2.1796
COLO 201,PF2341066,0.7973
COLO 205,PF2341066,1.3255
COLO-320,PF2341066,0.7197
COLO-677,PF2341066,0.8293
COLO-678,PF2341066,0.4238
COLO-679,PF2341066,0.4152
COLO-699,PF2341066,0.7483
COLO 741,PF2341066,0.5903
COR-L105,PF2341066,0.2549
COR-L23,PF2341066,0.3596
COV318,PF2341066,0.4279
COV504,PF2341066,0.2841
Daoy,PF2341066,0.2733
DBTRG-05MG,PF2341066,0.468
DEL,PF2341066,3.7305
Detroit 562,PF2341066,0.1087
DK-MG,PF2341066,0.7844
DMS 114,PF2341066,2.1489
DOHH-2,PF2341066,1.8184
DOV13,PF2341066,0.4143
DU 145,PF2341066,0.6584
DV-90,PF2341066,0.1697
EB1,PF2341066,0.3304
EB2,PF2341066,0.2978
EBC-1,PF2341066,4.497
EFE-184,PF2341066,0.2181
EFM-19,PF2341066,0.6233
EFO-21,PF2341066,0.3743
EFO-27,PF2341066,0.1799
EM-2,PF2341066,3.0185
EN,PF2341066,0.4521
ES-2,PF2341066,0.3971
ESS-1,PF2341066,1.3171
F-36P,PF2341066,1.3331
FaDu,PF2341066,0.4794
FU97,PF2341066,0.2194
FU-OV-1,PF2341066,0.2888
G-361,PF2341066,0.7552
G-401,PF2341066,1.1658
G-402,PF2341066,0.6586
GAMG,PF2341066,0.07498
GB-1,PF2341066,0.7245
GCIY,PF2341066,0.4585
GCT,PF2341066,1.1702
GI-1,PF2341066,1.0878
GLC-82,PF2341066,0.3521
GMS-10,PF2341066,0.2727
GRANTA-519,PF2341066,0.9777
H4,PF2341066,1.5929
HARA,PF2341066,0.1488
HCC1187,PF2341066,0.05411
HCC1395,PF2341066,0.2731
HCC-15,PF2341066,0.6549
HCC1569,PF2341066,0.03085
HCC1806,PF2341066,1.0815
HCC1954,PF2341066,0.493
HCC2935,PF2341066,0.01164
HCC4006,PF2341066,0.531
HCC-44,PF2341066,0.2043
HCC-56,PF2341066,0.2215
HCC70,PF2341066,0.2158
HCC-78,PF2341066,0.5792
HCC827,PF2341066,0.3058
HCT 116,PF2341066,0.678
HCT-15,PF2341066,0.3213
HD-MY-Z,PF2341066,0.8361
HDQ-P1,PF2341066,1.0024
HEC-151,PF2341066,0.5081
HEC-1-A,PF2341066,0.2774
HEC-1-B,PF2341066,0.7286
HEC-251,PF2341066,0.03693
HEC-265,PF2341066,0.7284
HEC-59,PF2341066,0.6056
HEC-6,PF2341066,0.7721
HEL 92.1.7,PF2341066,0.1365
Hep 3B2.1-7,PF2341066,0.6479
Hep G2,PF2341066,0.744
Hey-A8,PF2341066,0.7314
HGC-27,PF2341066,1.0484
HH,PF2341066,0.8985
HLE,PF2341066,0.4765
HLF,PF2341066,0.4126
HMC-1-8,PF2341066,0.5299
HMCB,PF2341066,0.4672
HOS,PF2341066,0.7702
HPAC,PF2341066,1.77
HPAF-II,PF2341066,1.0399
Hs 229.T,PF2341066,0.02076
Hs 294T,PF2341066,0.5367
